Unnamed: 0;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;ETAPA;OBS;AVANÇO;SUPERVISOR;AR COELBA;CARTEIRA;VALOR DE PROJETO;VALOR REAL;PIN;PLANO;AVANÇO.1;OBRA SIMPLIFICADA;CRITÉRIO;LATITUDE;LONGITUDE;MAPS;REFERÊNCIA;SI PG;PG'S;VISITA PRÉVIA;PRÉ-FECHAMENTO;LINK PROJETO;SOL. DE RESERVA NO CES;DT. SEPARAÇÃO CES;DT. SAQUE DE MATERIAIS;PES ENCAB. BT/ ENERG.;RESUMO ENCAB. BT/ENERG.;PES LV;RESUMO LV;PES PD;RESUMO PES PD;DATA PD;STATUS PES PD;CLIET.;PSTP;PST EXEC;% POSTES;CAVP;CAVR;% CAVAS;CONCRETO ENVIADO;PROVAVEL ROCHA;PV. INÍCIO;PV. FIM;DT REPROG;OBRA MIGRADA;DT I REAL;DT F REAL;ENERGIZAÇÃO;AS BUILT;DEVOLUÇÃO;BOOK/EVIDÊNCIAS;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9101921459;B-1089332;MP-CIND-POV.CONFORTO RURAL;GAVIÃO;HERMOGENES;INICIADA;IMPLANTAÇÃO;obra de avanço -  - programarar maquina cava;SIM;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 60.946,28;R$ 37.222,04;14.4.12.1;PLANO 14;100%;NÃO;AIC AUDITORIA;-11,424065;-39,715125;nan;B747075;nan;E919867 AO E919879;nan;29/12/2025;18/12/2025;30/12/2025;12/01/26;nan;2026-3477;SUBSTITUIR POSTE BT POR MT  E TRANSFERENCIA DE REDE BT ENTRE OS POSTES B747076 AO B747081 E FECHAR CHAVE DE TRAFO PROJETADO E ENERGIZAR OBRA.;CRIAR;ENCABEÇAMENTO DE REDE MT N3 P/ N4 NO POSTE B747075 E ENERGIZAR OBRA.;N;nan;nan;nan;1;19;7,00;nan;nan;nan;nan;19;nan;23/01/2026;26/01/2026;nan;nan;nan;nan;nan;nan;nan;FEITO;JACOBINA;01/01/2026;1089332;Consolidado;N/A
9102124496;B-1166217;LD CIND PO CAMPO ALEGRE RURAL;OUROLÂNDIA;EUDARIO;INICIADA;IMPLANTAÇÃO;obra de avanço - falta trafo, cabo pot ,  - programarar maquina cava - poste implantados;SIM;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 132.434,35;R$ 23.275,78;14.7.2003;PLANO 14;100%;NÃO;AIC AUDITORIA;-10,815784;-41,402599;nan;D064440;nan;E937230 AO E937237;nan;30/12/2025;29/12/2025;30/12/2025;12/01/26;nan;CRIAR;nan;CRIAR;ENCABEÇAMENTO DE REDE MT N3 PRA  N4 NO POSTE D064440 ENERGIZAR OBRA.;2026-3550;DESLIG. TRAFO J54487 SUBSTITUIR POSTES  D064438,D064439 E D064437 BT POR MT.;23/01/26;nan;1;11;10,00;nan;nan;nan;nan;nan;nan;05/01/2026;13/01/2026;23/01/2026;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2026;1166217;Consolidado;N/A
9101891945;B-1081477;LD CIND AV JACOBINA RURAL;CAPIM GROSSO;JOSE MISAEL;INICIADA;IMPLANTAÇÃO;nan;SIM;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 116.604,57;R$ 27.116,15;14.4.12.1;PLANO 14;100%;NÃO;LPT;-11,359711;-40,036547;nan;E125931;nan;E937238 AO E937247;nan;LANÇADO CONCRETO-30/12/2025;30/12/2025;30/12/2025;12/01/26;nan;N;nan;CRIAR;ENCABEÇAMENTO DE REDE MT N3 PRA N3-3 NO POSTE E125931 E ENERGIZAR OBRA;2026-2262;DESLIG. TRAFO V16464  PARA REALOCAÇÃO DO MESMO.;21/01/26;nan;1;10;10,00;nan;nan;nan;nan;10;nan;20/01/2026;23/01/2026;21/01/2026;nan;nan;nan;21/01/2026;PENDENTE;PENDENTE;PENDENTE/ PODA E CAVA EM ROCHA C EXPLO;JACOBINA;01/01/2026;1081477;Consolidado;N/A
9101986026;B-1113417;ER-CIND-RUA-JUREMA-TABUA;VÁRZEA NOVA;ANTONIO;INICIADA;IMPLANTAÇÃO;depende do trafo 10 34,5 31/01;nan;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 43.609,30;R$ 10.839,20;14.4.12.1;PLANO 14;100%;SIM;LPT;-11,0624;-41,115166;nan;R025330;nan;E919882 AO E919886;ok;23/12/2025;18/12/2025;nan;16/01/2026;nan;N;nan;CRIAR;INTERCALAR POSTE MT N1,12/600 E BANCADA DE TRAFO ENTRE OS POSTES R025332 E R02533M FECHAR CHAVE DO TRAFO PROJETADO  ENERGIZAR OBRA.0. L;N;nan;nan;nan;1;5;5,00;nan;nan;nan;nan;nan;nan;21/01/26;23/01/26;31/01/2026;nan;nan;nan;nan;nan;nan;PENDENTE/ SIMP.;JACOBINA;01/01/2026;1113417;Consolidado;N/A
9102038554;B-1130415;ER-CIND-FAZ-VEADO-BARRG SAO JOSE;QUIXABEIRA;JOSE MISAEL;ENERGIZADA;ENERGIZADA;ENERGIZA 30/01;nan;ANDERSON;RAFAEL CRUZ;12/12/25;R$ 32.978,03;R$ 6.615,11;7.1.2.3;PLANO 7;100%;SIM;LPT;-11,521731;-40,095118;nan;R028445;nan;E919887 AO E919889;nan;23/12/2025;18/12/2025;nan;19/01/2026;nan;N;nan;CRIAR;INTERCALAR POSTE MT N1,12/600 E BANCADA DE TRAFO ENTRE OS POSTES R028445 E R028483. LM FECHAR CHAVE DO TRAFO PROJETADO  ENERGIZAR OBRA.;N;nan;nan;nan;1;3;3,00;nan;nan;nan;nan;3;nan;30/01/26;31/01/26;nan;nan;28/01/26;30/01/26;30/01/2026;PENDENTE;PENDENTE;PENDENTE/ SIMP.;JACOBINA;01/01/2026;1130415;Consolidado;N/A
9102034761;B-1135795;ER-CIND-FAZ-VEADO-BARRG SAO JOSE;VÁRZEA NOVA;EUDARIO;ENERGIZADA;ENERGIZADA;ENERGIZA HOJE;nan;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 24.620,54;R$ 7.604,47;14.4.12.1;PLANO 14;100%;SIM;LPT;-11,197096;-40,928271;nan;D160058;nan;E919890 AO E919893;nan;23/12/2025;18/12/2025;nan;16/01/2026;nan;2026-3529;ENCABEÇAMENO DE REDE BT NO POSTE PROJETADO ENTRE OS POSTES  D160058E E D160057  ENERGIZAR OBRA.;CRIAR;INTERCALAR POSTE MT N1,11/400 ENTRE OS POSTES D160058E E D160057 ENERGIZAR OBRA;N;nan;nan;nan;1;4;4,00;nan;nan;nan;nan;4;nan;24/01/26;26/01/26;31/01/2026;nan;29/01/26;29/01/26;29/01/26;PENDENTE;PENDENTE;PENDENTE/ SIMP.;JACOBINA;01/01/2026;1135795;Consolidado;N/A
9102344832;B-1231445;ER-CIND-FAZ-GENIPAPO-RURAL;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;CAVADA;nan;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 45.378,77;R$ 6.900,07;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,396979;-40,02032;nan;E284434;nan;E919894 AO E919896;nan;LANÇADO CONCRETO;18/12/2025;nan;16/01/2026;nan;2026-4041;INSTALAR TRAFO E LANÇAR REDE BT E ENERGIZAR OBRA;CRIAR;INTERCALAR POSTE MT  E BANCADA DE TRAFO ENTRE OS POSTES E284433 E E284434, INTERCALAR POSTE 11400D, N1M ENTRE OS POSTES  E284432 E E284433.;N;nan;nan;nan;3;3;3,00;nan;nan;nan;nan;3;nan;24/01/26;26/01/26;nan;nan;19/01/26;19/01/26;19/01/2026;ok;PENDENTE;nan;JACOBINA;01/01/2026;1231445;Consolidado;N/A
9102341814;B-1231453;ER-CIND-FAZ-SAO MAURICIO 33-RURAL;OUROLÂNDIA;EUDARIO;ENERGIZADA;ENERGIZADA;depende da linha viva finalizar;nan;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 19.035,31;R$ 2.717,10;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,683362;-41,26536;nan;B667211;nan;E919897;nan;23/12/2025;18/12/2025;nan;16/01/2026;nan;2026-4074;FECHAR CHAVE DE TRAFO PROJETADO E ENERGIZAR OBRA;CRIAR;INSTALAR BANCADA DE TRAFO NO POSTE B667211 ENERGIZAR OBRA.;N;nan;nan;nan;1;1;1,00;nan;nan;nan;nan;nan;nan;23/01/2026;24/01/2026;nan;nan;nan;28/01/26;28/01/2026;OK;PENDENTE;nan;JACOBINA;01/01/2026;1231453;Consolidado;N/A
9102041326;B-1133426;ER-CIND-POV-BARRIGUDA DOUTORES 457-RURAL;UMBURANAS;ALESSANDRO, EUDARIO;ENERGIZADA;ENERGIZADA;ENERGIZA HOJE;nan;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 22.702,22;R$ 2.595,39;14.4.12.1;PLANO 14;100%;SIM;LPT;-10,73286;-41,358986;nan;R043651;nan;E919898;nan;23/12/2025;18/12/2025;nan;16/01/2026;nan;N;nan;CRIAR;INTERCALAR POSTE MT N1,11/600 E BANCADA DE TRAFO ENTRE OS POSTES R043651 E R043650 LM FECHAR CHAVE DO TRAFO PROJETADO  ENERGIZAR OBRA.;N;nan;nan;nan;1;1;1,00;nan;nan;nan;nan;1;nan;21/01/2026;24/01/2026;30/01/2026;nan;29/01/2026;29/01/2026;29/01/2026;OK;PENDENTE;PENDENTE/ SIMP.;JACOBINA;01/01/2026;1133426;Consolidado;N/A
9102134085;B-1160891;ER-CCOL-RUA-ALCENDINO L -JOSE PAPAGAIO;GAVIÃO;HERMOGENES;INICIADA;IMPLANTAÇÃO;obra de avanço - - programarar maquina cava, 2 podas;SIM;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 62.419,32;R$ 12.346,56;14.7.2003;PLANO 14;100%;NÃO;LPT;-11,472878;-39,775131;nan;D518216;nan;E919900 AO E919905;nan;LANÇADO CONCRETO-30/12/2025;18/12/2025;30/12/2025;12/01/26;nan;2026-4299;FECHAR CHAVE DE TRAFO PROJETADO E ENERGIZAR OBRA.;CRIAR;ENCABEÇAMENTO DE REDE MT B3 P/ B4M NO POSTE D518216 E ENERGIZAR OBRA.;N;nan;nan;nan;1;6;6,00;nan;nan;nan;nan;nan;nan;27/01/2026;29/01/2026;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/01/2026;1160891;Consolidado;N/A
9102353551;B-1230988;UB-CIND-RUA-ANTONIO ZAMBELE-CENTRO;CALDEIRÃO GRANDE;JOSE MISAEL;ENERGIZADA;ENERGIZADA;nan;nan;ANDERSON;RAFAEL CRUZ;12/12/25;R$ 20.714,21;R$ 5.729,53;7.1.1.3;PLANO 7;100%;NÃO;QLP;-11,016583;-40,294899;nan;R012360;nan;E919805 AO E919807;nan;LANÇADO CONCRETO - 24/12/2025;18/12/2025;30/12/2025;12/01/26;nan;N;nan;CRIAR;INSTALAR POSTE 11400D, N1, ENTRE OS POSTES R012358 E R012357.;2026-9885;DESLIG. TRAFO J04245 INTERCALAR POSTE BT 9600D, FLBIT, S4 ENTRE OS POSTES R012359  E  R012360 E ENCABEÇAR REDE BT E ENERGIZAR OBRA.;23/01;nan;1;2;2,00;nan;nan;nan;nan;2;nan;12/01/2026;14/01/2026;23/01/2026;nan;nan;22/01/2026;22/01/2026;OK;PENDENTE;nan;JACOBINA;01/01/2026;1230988;Consolidado;N/A
9102351641;B-1230997;UB-CIND-RUA-JOAO DA SILVA LIMA-UMBURANAS;UMBURANAS;ALESSANDRO, ANTONIO;ENERGIZADA;ENERGIZADA;detonação 31/01;nan;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 14.247,79;R$ 3.380,55;7.1.1.3;PLANO 7;100%;NÃO;QLP;-10,73187;-41,328279;nan;R046418;nan;E919906 AO E919907;nan;24/12/2025;19/12/2025;nan;16/01/2026;nan;2026-4353;ENCABEÇAMENO DE REDE BT NO POSTE R046418 ENERGIZAR OBRA.;N;nan;N;nan;nan;nan;2;2;2,00;nan;nan;nan;nan;2;nan;25/01/2026;30/01/2026;nan;nan;29/01/26;30/01/2026;30/01/2026;OK;PENDENTE;nan;JACOBINA;01/01/2026;1230997;Consolidado;N/A
9102345882;B-1232923;ER-CIND-FAZ-CASTELO-RURAL;CALDEIRÃO GRANDE;JOSE MISAEL;ENERGIZADA;ENERGIZADA;nan;nan;ANDERSON;RAFAEL CRUZ;12/12/25;R$ 44.218,25;R$ 12.390,83;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,03353;-40,328471;nan;D125116;nan;E919808 AO E919813;nan;LANÇADO CONCRETO-24/12/2025;19/12/2025;30/12/2025;12/01/26;nan;2026-4411;ENCABEÇAMENO DE REDE BT NO POSTE D125116 E ENERGIZAR OBRA;CRIAR;INSTALAR POSTE 11400D, N1, ENTRE OS POSTES D125116 E D125115.;N;nan;nan;nan;1;6;6,00;nan;nan;nan;nan;nan;nan;14/01/26;17/01/26;31/01/2026;nan;nan;24/01/26;24/01/2026;OK;PENDENTE;nan;JACOBINA;01/01/2026;1232923;Consolidado;N/A
9102356581;B-1234710;ER-CIND-POV-BERNARDO-RURAL-VARZEA NOVA;VÁRZEA NOVA;EUDARIO;ENERGIZADA;ENERGIZADA;ENERGIZA HOJE;nan;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;R$ 2.114,06;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,256663;-40,968621;nan;B872220;nan;E919824;nan;26/12/2025;19/12/2025;nan;16/01/2026;nan;2026-4932;ENCABEÇAMENO DE REDE BT NO POSTE PROJETADO NO POSTE B872220  ENERGIZAR OBRA.;N;nan;N;nan;nan;nan;1;1;1,00;nan;nan;nan;nan;1;nan;30/01/26;31/01/26;nan;nan;29/01/2026;29/01/2026;29/01/2026;PENDENTE;PENDENTE;nan;JACOBINA;01/01/2026;1234710;Consolidado;N/A
9102341444;B-1233522;ER-CIND-POV-GITIRANA-GITIRANA;OUROLÂNDIA;EUDARIO;ENERGIZADA;ENERGIZADA;linha viva;nan;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 8.728,01;R$ 2.552,98;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,8808;-41,218812;nan;D088382;nan;E919815;nan;26/12/2025;19/12/2025;nan;16/01/2026;nan;2026-4975;LANÇAMENTO DE RED BT DO POSTE D088382 AO  D088381 ENERGIZAR OBRA.;CRIAR;INTERCALAR POSTE MT 11400D N1 ENTRE OS POSTES D088382 E D088381 ENERGIZAR OBRA.;N;nan;nan;nan;1;1;1,00;nan;nan;nan;nan;nan;nan;29/01/2026;30/01/2026;nan;nan;28/01/26;28/01/26;28/01/2026;PENDENTE;PENDENTE;nan;JACOBINA;01/01/2026;1233522;Consolidado;N/A
9102349359;B-1233262;ER-CIND-FAZ-PAULISTA-RURAL;GAVIÃO;HERMOGENES;ENERGIZADA;ENERGIZADA;- programarar maquina cava;nan;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 41.260,54;R$ 10.552,79;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,446202;-39,758259;nan;B142198;nan;E919816 AO E919820;nan;26/12/2025;19/12/2025;30/12/2025;12/01/26;nan;N;nan;CRIAR;INTERCALAR POSTE MT N1,12/600 E BANCADA DE TRAFO ENTRE OS POSTES B142197 E B142198. LM FECHAR CHAVE DO TRAFO PROJETADO  ENERGIZAR OBRA.;N;nan;nan;nan;1;5;5,00;nan;nan;nan;nan;5;nan;30/01/2026;30/01/2026;nan;nan;nan;24/01/26;24/01/2026;ok;PENDENTE;nan;JACOBINA;01/01/2026;1233262;Consolidado;N/A
9102350072;B-1229319;UB-CIND-RUA-BOM JARDIM-JARDIM FORMOSA;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;CAVADA;nan;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 15.777,43;R$ 4.108,27;7.1.1.3;PLANO 7;100%;NÃO;QLP;-11,381649;-40,020619;nan;D535516;nan;E919821 AO E919822;nan;LANÇADO CONCRETO-26/12/2025;19/12/2025;nan;16/01/2026;nan;2026-5021;ENCABEÇAMENO DE REDE BT NO POSTE D535516 ENERGIZAR OBRA.;N;nan;N;nan;nan;nan;1;2;2,00;nan;nan;nan;nan;2;nan;18/01/26;18/01/26;29/01/2026;nan;nan;21/01/26;21/01/2026;ok;PENDENTE;nan;JACOBINA;01/01/2026;1229319;Consolidado;N/A
9102366515;B-1236192;ER-CIND-POV-DO JIL -RURAL;VÁRZEA NOVA;ANTONIO;ENERGIZADA;ENERGIZADA;falta colocar trafo, cabo pot;nan;EDLECIO;ERIC TEIXEIRA;12/12/25;R$ 15.777,43;R$ 2.640,13;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,23746;-40,844074;nan;R030682;nan;E919823;nan;26/12/2025;19/12/2025;nan;16/01/2026;nan;N;nan;CRIAR;INTERCALAR POSTE MT N1,12/600 E BANCADA DE TRAFO ENTRE OS POSTES R030683 E R030682. LM FECHAR CHAVE DO TRAFO PROJETADO  ENERGIZAR OBRA.;N;nan;nan;nan;1;1;1,00;nan;nan;nan;nan;nan;nan;27/01/26;29/01/26;nan;nan;nan;28/01/26;28/01/2026;PENDENTE;PENDENTE;nan;JACOBINA;01/01/2026;1236192;Consolidado;N/A
9102366050;B-1235815;ER-CIND-FAZ-CURRAL DE PEDRA-MELANCIA;CAPIM GROSSO;JOSE MISAEL;ENERGIZADA;ENERGIZADA;nan;nan;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 15.777,43;R$ 11.936,46;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,387109;-39,986817;nan;E811222;nan;E919767 AO E919772;nan;LANÇADO CONCRETO-26/12/2025;19/12/2025;nan;16/01/2026;nan;2026-5080;ENCABEÇAMENO DE REDE BT NO POSTE E811222 ENERGIZAR OBRA.;N;nan;N;nan;nan;nan;1;6;6,00;nan;nan;nan;nan;6;nan;19/01/26;19/01/26;nan;nan;nan;19/01/26;19/01/2026;ok;PENDENTE;nan;JACOBINA;01/01/2026;1235815;Consolidado;N/A
9102357646;B-1235661;ER-CIND-FAZ-CARAIBAS S N-RURAL;QUIXABEIRA;JOSE MISAEL;ENERGIZADA;ENERGIZADA;nan;nan;ANDERSON;RAFAEL CRUZ;12/12/25;R$ 15.777,43;R$ 5.785,83;7.1.2.3;PLANO 14;100%;NÃO;QLP;-11,439554;-40,085711;nan;D099183;nan;E919681 AO E919683;nan;26/12/2025;19/12/2025;nan;19/01/2026;nan;2026-5209;ENCABEÇAMENO DE REDE BT NO POSTE D099183 ENERGIZAR OBRA.;N;nan;N;nan;nan;nan;1;3;3,00;nan;nan;nan;nan;3;nan;31/01/26;31/01/26;nan;nan;nan;27/01/26;27/01/2026;OK;PENDENTE;nan;JACOBINA;01/01/2026;1235661;Consolidado;N/A
9102345317;B-1231687;ER-CIND-FAZ-UMBURANA-RURAL;GAVIÃO;HERMOGENES;ENERGIZADA;ENERGIZADA;nan;nan;ANDERSON;MANOEL CONCEIÇAO;12/12/25;R$ 15.777,43;R$ 12.225,16;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,556204;-39,822463;nan;D922771;nan;E919744 AO E919749;nan;26/12/2025;22/12/2025;nan;16/01/2026;nan;2026-5230;FECHAR CHAVE DE TRAFO PROJETADO  LANÇAR REDE BT E ENERGIZAR OBRA.;CRIAR;INTERCALAR POSTE MT N1,11/600 E BANCADA DE TRAFO ENTRE OS POSTES D569708 E D569707 NENERGIZAR OBRA;N;nan;nan;nan;1;6;6,00;nan;nan;nan;nan;6;nan;15/01/2026;16/01/2026;30/01/2026;nan;09/01/26;27/01/26;27/01/2026;ok;PENDENTE;nan;JACOBINA;01/01/2026;1231687;Consolidado;N/A
